Employee_ID,Age,Department,Job_Level,Years_at_Company,Monthly_Hours_Worked,Remote_Work,Meetings_per_Week,Tasks_Completed_Per_Day,Overtime_Hours_Per_Week,Work_Life_Balance,Job_Satisfaction,Productivity_Score,Annual_Salary,Absences_Per_Year
2975,31,Marketing,Manager,1,123,Yes,8,14,4,Average,7,94.51,154206,12
2976,29,Sales,Entry,19,210,Yes,7,3,11,Average,6,80.71,186981,19
2977,50,Sales,Mid,26,156,Yes,10,12,9,Poor,4,93.21,140516,11
2978,35,Finance,Mid,22,213,Yes,0,4,11,Average,4,80.89,115498,17
2979,32,Finance,Mid,20,198,Hybrid,10,13,9,Poor,5,70.22,41115,3
2980,51,Finance,Entry,29,135,Yes,10,17,11,Good,5,54.27,149490,7
2981,54,Marketing,Mid,5,211,No,8,19,11,Average,9,65.15,91343,10
2982,55,Finance,Mid,25,174,Yes,8,4,3,Poor,5,59.55,75998,15
2983,58,Marketing,Entry,26,195,Hybrid,7,13,13,Poor,4,98.11,57402,5
2984,58,Marketing,Senior,25,208,Yes,6,6,4,Average,8,70.02,58278,3
2985,26,HR,Entry,6,147,Hybrid,0,5,7,Poor,9,95.25,124194,7
2986,26,Finance,Entry,1,179,Yes,2,16,7,Excellent,5,66.54,60396,14
2987,38,Finance,Entry,22,123,Hybrid,8,19,12,Average,6,56.19,78248,8
2988,40,Sales,Mid,29,218,No,13,8,5,Average,9,90.49,42561,18
2989,47,Finance,Entry,15,158,No,4,15,7,Good,1,73.46,184988,5
2990,23,Marketing,Senior,2,188,Hybrid,14,18,12,Excellent,6,92.54,46529,16
2991,35,Finance,Mid,23,148,Hybrid,3,7,11,Excellent,8,78.33,163859,5
2992,49,IT,Mid,29,136,Yes,14,3,7,Average,2,54.99,133889,13
2993,25,Sales,Mid,18,150,Yes,14,12,5,Average,1,51.58,181852,8
2994,24,Operations,Mid,13,131,No,9,7,2,Good,4,57.97,164367,18
2995,36,IT,Senior,2,219,No,10,9,8,Average,3,66.04,186993,5
2996,43,Marketing,Manager,8,214,Hybrid,0,12,10,Average,2,70.45,78607,2
2997,40,IT,Mid,27,130,Yes,8,4,7,Poor,8,93.23,177120,16
2998,55,Operations,Mid,24,165,No,6,3,3,Good,6,93.97,186219,0
2999,31,Marketing,Mid,5,158,No,12,9,4,Excellent,8,72.82,165922,1
3000,55,Sales,Manager,22,149,No,2,4,3,Good,9,82.81,194180,10
3001,37,Operations,Mid,27,151,Hybrid,1,12,0,Average,4,56.5,123799,5
3002,58,HR,Senior,23,191,Hybrid,2,16,6,Good,6,97.58,187105,9
3003,57,IT,Mid,15,193,Yes,13,6,12,Poor,8,66.88,60742,6
3004,43,Sales,Mid,25,130,No,3,4,4,Good,9,82.42,185968,7
3005,53,HR,Mid,13,146,Hybrid,2,4,12,Excellent,7,77.63,148889,8
3006,38,Marketing,Mid,23,125,No,1,5,8,Average,7,88.31,155764,8
3007,30,Marketing,Entry,25,174,Hybrid,11,18,13,Average,1,99.62,38062,19
3008,54,HR,Mid,21,125,Hybrid,5,13,10,Good,2,71.75,141918,3
3009,54,Operations,Senior,17,149,Yes,3,13,7,Average,5,64.84,56202,6
3010,23,Operations,Mid,4,137,No,7,8,1,Average,7,55.05,185222,10
3011,35,Sales,Manager,7,158,Hybrid,1,6,14,Average,9,89.6,111164,10
3012,58,HR,Entry,2,197,Yes,12,17,9,Good,7,65.59,150111,11
3013,54,IT,Mid,9,182,Yes,0,12,1,Average,9,72.2,43774,7
3014,22,HR,Senior,2,134,No,12,19,8,Good,1,97.83,87636,13
3015,43,Finance,Entry,17,169,Yes,11,7,14,Poor,6,97.35,157144,9
3016,51,IT,Entry,21,172,Hybrid,1,3,9,Average,8,84.71,179785,3
3017,48,Sales,Senior,18,219,Hybrid,4,12,13,Good,2,55.18,80415,4
3018,54,IT,Mid,6,206,Hybrid,4,15,4,Excellent,9,72.43,166543,1
3019,37,Marketing,Mid,18,155,No,7,17,3,Average,2,95.43,160214,17
3020,31,Marketing,Entry,27,208,No,0,3,6,Average,1,75.2,161957,9
3021,48,Marketing,Mid,22,128,No,12,13,8,Average,6,99.2,140925,13
3022,58,IT,Mid,6,180,Yes,10,14,2,Average,5,59.44,158092,11
3023,23,Marketing,Mid,26,143,Hybrid,13,19,1,Average,4,79.88,124784,11
3024,51,Operations,Entry,2,202,Hybrid,7,5,0,Poor,2,59.46,155225,2
3025,40,Operations,Mid,2,219,Yes,14,15,1,Excellent,6,89.8,190415,0
3026,40,Sales,Mid,6,180,Yes,9,18,12,Poor,2,95.88,155461,19
3027,56,Sales,Entry,9,217,Yes,7,14,7,Average,5,53.08,95476,14
3028,32,IT,Mid,4,194,No,14,11,5,Poor,9,71.35,82662,8
3029,53,HR,Mid,10,167,No,12,8,2,Poor,1,51.9,69301,9
3030,37,HR,Manager,20,154,Hybrid,8,7,9,Good,7,53.44,183892,15
3031,38,Sales,Senior,2,211,Hybrid,3,8,7,Good,2,68.4,141469,11
3032,50,IT,Senior,13,150,Hybrid,10,17,4,Poor,3,79.16,197253,4
3033,41,Sales,Entry,4,219,Hybrid,2,14,5,Average,1,92.59,170807,14
3034,57,Marketing,Mid,11,216,No,8,4,6,Average,8,97.36,86913,11
3035,45,Marketing,Entry,10,134,No,11,5,3,Average,3,63.44,86850,9
3036,25,Sales,Entry,13,185,No,4,8,6,Poor,3,61.2,150829,12
3037,26,Marketing,Mid,7,146,Yes,10,9,9,Good,9,57.91,175529,19
3038,40,Finance,Entry,4,135,No,1,11,12,Average,5,50.98,97148,6
3039,45,Operations,Entry,22,186,No,10,5,6,Average,6,76.75,67656,14
3040,22,Finance,Senior,5,182,No,2,11,8,Poor,8,76.56,39212,11
3041,56,Operations,Entry,7,146,No,7,14,2,Average,8,54.27,50262,11
3042,23,Operations,Senior,11,151,No,10,8,4,Excellent,6,50.86,35906,6
3043,31,Finance,Senior,27,177,Yes,10,5,4,Poor,7,69.08,195609,10
3044,27,HR,Senior,3,154,Yes,6,6,8,Good,1,53.94,88271,2
3045,59,HR,Entry,27,143,Yes,3,15,7,Average,4,52.81,65388,5
3046,41,IT,Senior,13,190,Hybrid,8,12,5,Good,6,74.7,43588,3
3047,40,HR,Mid,28,202,Hybrid,10,8,12,Average,8,90.62,75673,11
3048,57,Operations,Mid,3,124,Yes,12,9,7,Excellent,7,83.44,137414,3
3049,50,Sales,Mid,5,158,Hybrid,0,10,9,Poor,6,57.68,88434,8
3050,45,IT,Entry,14,170,Hybrid,10,8,0,Average,5,83.04,40088,8
3051,30,IT,Entry,29,182,No,10,18,14,Average,5,67.53,189845,17
3052,53,Sales,Senior,20,127,No,6,3,14,Good,5,54.3,195321,13
3053,26,Finance,Mid,5,208,No,5,18,5,Poor,5,68.49,42114,4
3054,42,HR,Entry,17,141,Hybrid,1,5,3,Poor,6,93.28,98958,19
3055,38,IT,Mid,14,185,No,11,5,12,Average,5,60.21,54758,14
3056,45,Finance,Senior,16,159,No,8,5,3,Average,5,74.58,183700,1
3057,48,Operations,Mid,20,165,No,10,14,12,Average,1,67.52,132105,10
3058,39,Marketing,Senior,6,129,Yes,8,7,12,Average,3,89.98,51039,12
3059,43,Operations,Mid,23,201,Yes,6,15,6,Excellent,1,79.94,165394,9
3060,27,Finance,Mid,24,208,Yes,6,17,9,Good,3,70.49,173776,6
3061,49,Finance,Mid,5,199,No,3,9,11,Average,1,71.76,58554,13
3062,41,Operations,Entry,18,198,Yes,6,14,8,Good,6,95.18,65766,18
3063,37,HR,Senior,18,190,Hybrid,8,15,14,Average,6,62.61,77395,10
3064,40,Marketing,Senior,15,195,No,9,5,14,Poor,6,54.17,173623,10
3065,29,IT,Mid,19,215,No,8,7,0,Good,7,92.67,41328,9
3066,39,Operations,Mid,4,186,Yes,8,7,11,Good,1,73.87,164428,0
3067,58,Sales,Mid,6,120,No,9,13,13,Excellent,8,52.42,78440,4
3068,52,IT,Mid,21,175,Hybrid,11,12,3,Excellent,4,95.24,172819,18
3069,59,HR,Entry,21,162,No,14,18,5,Good,9,81.39,128679,6
3070,23,Operations,Entry,9,206,Yes,4,19,5,Excellent,2,62.6,140916,1
3071,53,IT,Entry,9,154,Yes,11,18,7,Good,2,84.92,90555,8
3072,36,HR,Manager,27,184,Hybrid,2,14,5,Good,8,63.41,60585,14
3073,32,HR,Mid,28,163,Hybrid,2,18,5,Poor,1,69.52,92857,17
3074,26,IT,Mid,19,203,Hybrid,7,9,11,Poor,4,67.66,174391,5
3075,50,Sales,Mid,25,199,No,7,4,3,Good,7,87.28,45726,18
3076,41,Sales,Entry,17,164,No,9,4,11,Good,4,55.32,117709,16
3077,41,IT,Entry,20,154,No,8,17,7,Average,9,64.09,126062,18
3078,39,Marketing,Entry,14,156,No,1,7,2,Poor,3,95.06,37995,16
3079,33,Finance,Senior,27,184,No,0,12,3,Poor,5,94.22,104307,16
3080,38,Sales,Manager,8,166,Yes,13,12,2,Poor,3,98.53,165970,6
3081,25,HR,Entry,9,174,Hybrid,2,14,12,Average,3,51.34,94233,1
3082,40,Sales,Mid,21,153,No,7,10,13,Excellent,6,55.74,46810,15
3083,44,Operations,Entry,2,140,No,5,15,0,Poor,6,98.41,44563,3
3084,48,Marketing,Senior,24,145,Yes,2,9,3,Average,2,64.45,78690,16
3085,35,IT,Entry,8,133,No,0,10,4,Average,5,86.37,156311,12
3086,25,Marketing,Mid,25,137,No,4,11,9,Good,7,97.33,165616,19
3087,25,Finance,Mid,22,207,No,13,13,10,Average,1,91.44,107093,4
3088,45,Sales,Mid,27,154,Yes,5,19,11,Good,3,69.27,74343,4
3089,44,Operations,Entry,9,184,No,6,9,4,Poor,3,80.89,55976,0
3090,57,HR,Mid,13,135,No,12,9,14,Poor,7,71.15,114955,10
3091,32,Operations,Senior,26,180,No,10,15,11,Good,5,65.48,145625,7
3092,54,HR,Entry,10,140,Yes,11,8,8,Excellent,1,87.15,114992,2
3093,59,Marketing,Senior,24,207,Hybrid,9,19,3,Good,6,99.04,40961,10
3094,26,Operations,Senior,13,145,Yes,9,4,1,Good,7,72.59,182482,13
3095,48,Operations,Entry,27,166,No,3,7,10,Poor,6,77.59,126716,10
3096,58,IT,Manager,5,165,No,9,10,9,Good,1,71.74,119687,12
3097,48,Finance,Entry,15,137,No,13,9,6,Average,6,98.8,158928,9
3098,52,IT,Mid,29,160,No,0,18,8,Average,7,86.29,172192,18
3099,33,Sales,Mid,20,207,Yes,6,4,3,Excellent,7,75.13,151426,13
3100,27,Operations,Senior,7,211,No,8,13,3,Good,4,88.05,155467,17
3101,33,Marketing,Mid,22,139,Hybrid,12,19,8,Average,1,57.43,88390,10
3102,35,Marketing,Mid,12,200,Hybrid,8,9,11,Average,4,51.67,191675,13
3103,43,HR,Mid,20,204,No,11,4,3,Good,2,75.51,134907,17
3104,32,Sales,Senior,16,137,No,5,9,11,Average,3,84.66,141835,12
3105,59,HR,Mid,2,185,No,1,14,12,Excellent,8,55.2,65251,5
3106,34,IT,Entry,10,155,Yes,14,11,4,Average,5,63.17,115132,8
3107,27,Marketing,Mid,9,136,No,0,5,10,Average,3,99.08,159768,9
3108,41,Marketing,Entry,20,162,Hybrid,1,4,0,Excellent,1,58.8,94537,16
3109,23,Operations,Mid,3,189,Yes,8,7,1,Poor,3,58.06,82220,1
3110,32,Finance,Senior,11,154,Hybrid,12,15,6,Excellent,6,68.86,195792,19
3111,29,Operations,Entry,28,217,No,4,7,7,Poor,2,99.96,186564,18
3112,51,IT,Mid,10,175,Yes,13,15,8,Good,6,65.5,115459,6
3113,48,Sales,Mid,13,205,Yes,8,17,5,Average,1,60.18,92455,12
3114,25,Finance,Senior,22,215,Yes,14,5,3,Average,6,58.86,188736,6
3115,28,Operations,Senior,2,129,No,1,16,3,Average,2,89.69,198207,6
3116,45,Marketing,Mid,16,189,No,10,17,8,Good,2,91.79,59402,17
3117,53,Sales,Mid,8,196,Yes,1,5,3,Good,3,85.73,149078,16
3118,40,HR,Senior,25,189,Yes,4,16,2,Good,7,94.11,129270,8
3119,56,IT,Senior,20,219,No,4,14,1,Poor,8,95.13,154619,7
3120,24,HR,Mid,10,152,Hybrid,12,19,11,Poor,7,89.61,68807,2
3121,39,Marketing,Entry,23,121,Yes,9,8,6,Good,1,82.39,196219,9
3122,58,Finance,Mid,29,199,No,6,18,12,Poor,8,88.56,188521,17
3123,43,HR,Manager,17,159,Hybrid,2,12,13,Poor,6,97.97,67155,11
3124,54,Marketing,Mid,18,144,Yes,7,16,3,Poor,7,85.75,62454,17
3125,59,HR,Senior,20,203,No,12,6,5,Poor,6,86.99,102725,0
3126,55,IT,Entry,21,210,No,2,18,11,Good,2,67.1,56293,16
3127,44,HR,Mid,10,165,Yes,6,18,3,Excellent,9,74.02,57842,2
3128,56,IT,Mid,28,134,Hybrid,14,15,0,Average,3,98.08,194991,13
3129,50,IT,Mid,28,193,Yes,0,4,8,Good,5,94.34,40235,13
3130,23,Operations,Mid,24,210,Hybrid,9,10,14,Good,6,57.49,64589,1
3131,35,Sales,Senior,2,136,No,4,17,0,Poor,8,54.76,91006,3
3132,29,Finance,Manager,2,205,No,8,12,12,Good,3,72.71,80210,9
3133,22,HR,Entry,10,133,Hybrid,3,6,2,Good,8,58.84,101529,12
3134,49,Operations,Mid,21,147,Hybrid,2,4,2,Good,2,98.03,166451,14
3135,24,Marketing,Mid,2,191,Hybrid,4,16,6,Average,3,87.7,172971,12
3136,28,Sales,Mid,14,127,No,10,17,0,Poor,4,91.95,94468,6
3137,55,Finance,Mid,19,148,Yes,8,16,5,Good,2,82.84,37005,3
3138,53,Sales,Senior,26,160,No,12,4,11,Good,2,89.48,67946,10
3139,30,HR,Manager,9,184,Hybrid,1,3,14,Excellent,1,61.32,79583,2
3140,56,Operations,Mid,27,173,Hybrid,6,11,0,Poor,1,99.36,50407,0
3141,40,HR,Manager,16,192,No,8,16,11,Excellent,9,79.56,180327,12
3142,36,HR,Mid,25,127,No,3,12,12,Poor,3,66.93,129770,6
3143,52,Finance,Senior,22,123,No,4,8,13,Average,1,99.34,67436,13
3144,37,Sales,Entry,25,204,No,13,15,13,Average,8,51.03,55936,0
3145,58,Marketing,Entry,24,188,Yes,14,15,11,Poor,9,84.52,148348,1
3146,28,Sales,Entry,28,183,Hybrid,4,10,11,Good,2,91.4,118858,5
3147,56,Finance,Senior,29,177,No,6,7,14,Poor,4,54.33,36982,19
3148,50,IT,Entry,3,160,Yes,8,3,10,Good,9,90.59,79455,16
3149,23,IT,Mid,24,160,Hybrid,7,19,6,Average,3,85.24,181600,6
3150,55,IT,Mid,11,206,Hybrid,10,16,3,Poor,7,65.05,134383,15
3151,56,Marketing,Senior,23,206,Yes,6,3,0,Average,7,55.77,54520,13
3152,52,Finance,Mid,12,178,Yes,7,9,7,Poor,5,88.72,83760,8
3153,33,Finance,Mid,25,121,Yes,11,8,13,Poor,5,96.07,187425,2
3154,22,IT,Mid,7,186,No,3,6,9,Excellent,6,71.51,192524,5
3155,50,Finance,Entry,21,130,No,4,10,5,Excellent,1,78.59,68308,2
3156,22,Finance,Entry,5,147,No,1,11,4,Average,9,70.03,104646,9
3157,22,HR,Entry,20,122,No,4,4,5,Poor,2,88.12,115473,8
3158,36,Marketing,Entry,2,192,No,9,7,7,Average,4,93.05,166600,0
3159,24,Finance,Senior,21,215,Yes,1,3,5,Good,4,80.55,185247,14
3160,35,Operations,Mid,26,171,No,12,5,13,Average,2,74.35,82168,9
3161,31,IT,Mid,4,193,Hybrid,0,9,1,Average,1,85.38,138599,12
3162,24,Sales,Mid,17,131,No,7,6,14,Excellent,2,71.27,94346,10
3163,41,Sales,Mid,18,163,No,1,8,12,Average,4,80.85,166290,9
3164,57,Marketing,Senior,27,175,Hybrid,0,11,5,Good,4,75.71,108317,6
3165,48,Finance,Entry,2,139,Hybrid,8,3,8,Average,8,58.89,154615,1
3166,57,HR,Senior,9,180,Yes,5,13,0,Poor,1,69.86,110351,14
3167,32,Finance,Mid,18,160,Hybrid,8,13,1,Average,1,63.0,171222,2
3168,24,IT,Senior,12,131,Hybrid,11,15,2,Good,4,63.89,60128,13
3169,45,Operations,Entry,10,128,Hybrid,4,12,4,Average,3,50.71,57392,19
3170,31,Finance,Senior,7,144,Yes,6,4,5,Average,7,91.37,120126,14
3171,47,Sales,Entry,3,194,No,5,7,2,Average,3,51.41,191727,14
3172,53,Sales,Mid,18,128,No,2,9,7,Excellent,8,88.33,140833,19
3173,29,Marketing,Entry,24,132,Yes,14,3,5,Good,1,58.45,155653,10
3174,34,Operations,Entry,28,132,No,0,9,14,Good,3,96.69,130338,17
3175,24,IT,Entry,2,126,Hybrid,11,4,8,Average,3,90.26,138885,12
3176,36,Marketing,Mid,29,131,Yes,1,17,11,Poor,9,55.78,163797,4
3177,42,Finance,Entry,25,160,Hybrid,5,16,12,Good,8,90.18,113623,4
3178,50,Operations,Entry,3,206,No,4,16,12,Average,7,67.91,193538,17
3179,48,HR,Manager,15,146,No,6,13,0,Good,8,95.7,62127,16
3180,51,Marketing,Entry,9,211,Yes,5,15,2,Average,7,75.43,47179,18
3181,35,Sales,Entry,3,150,Hybrid,2,5,3,Average,5,86.65,60833,1
3182,36,IT,Entry,25,183,No,8,14,6,Excellent,1,51.12,150053,1
3183,35,Finance,Mid,6,175,No,11,9,1,Average,7,52.79,92344,5
3184,46,IT,Entry,11,153,No,4,14,3,Average,6,50.05,94189,19
3185,48,IT,Senior,2,131,No,10,12,2,Average,4,51.61,191347,17
3186,23,IT,Manager,17,187,Yes,6,8,13,Good,6,77.62,61303,19
3187,38,Sales,Mid,3,139,Hybrid,13,5,6,Good,8,89.19,133952,13
3188,36,HR,Mid,7,155,Yes,13,16,8,Good,4,52.6,98682,4
3189,48,Marketing,Manager,10,186,Yes,4,18,6,Average,8,63.66,132997,9
3190,31,Sales,Senior,19,212,Hybrid,10,11,3,Average,8,73.03,46990,1
3191,30,Operations,Mid,3,189,Yes,2,9,1,Average,9,75.34,155587,6
3192,24,HR,Senior,28,188,Yes,4,16,6,Good,4,83.25,198621,14
3193,45,Finance,Entry,23,182,Yes,14,15,7,Poor,3,53.7,151190,13
3194,22,Marketing,Entry,23,162,Hybrid,6,18,10,Average,2,88.37,35473,0
3195,59,HR,Entry,20,218,Yes,7,14,13,Good,5,57.39,132693,7
3196,27,Finance,Mid,1,131,Yes,6,17,6,Average,1,70.68,156887,16
3197,26,Operations,Mid,10,174,No,4,9,3,Good,8,64.18,54620,11
3198,25,Marketing,Entry,13,166,Hybrid,2,16,6,Poor,8,74.63,55816,17
3199,24,Operations,Senior,8,203,Yes,5,17,3,Average,7,60.44,121211,3
3200,51,Finance,Mid,24,208,No,9,8,11,Average,6,85.71,162051,1
3201,57,Sales,Mid,22,215,No,8,13,5,Poor,4,80.66,112318,1
3202,44,Finance,Mid,27,186,Hybrid,8,5,5,Average,4,81.48,189755,2
3203,28,Operations,Entry,15,181,No,11,5,8,Average,4,85.94,129823,9
3204,53,IT,Senior,1,182,No,5,4,3,Excellent,3,60.57,167867,8
3205,31,Sales,Entry,28,120,Hybrid,6,14,6,Good,2,78.33,122671,17
3206,58,Finance,Entry,26,120,No,6,18,6,Poor,3,77.9,100641,19
3207,54,Sales,Mid,12,185,Hybrid,4,12,8,Good,6,82.84,193592,6
3208,47,Marketing,Entry,3,132,No,10,14,6,Good,3,89.06,42892,19
3209,52,IT,Mid,28,201,Hybrid,13,6,1,Average,4,94.99,174296,13
3210,51,IT,Senior,28,204,Yes,10,18,5,Average,6,56.08,96219,18
3211,44,Finance,Mid,6,185,Hybrid,7,4,7,Good,8,55.96,172729,0
3212,50,Marketing,Manager,10,207,Yes,2,7,8,Average,4,55.7,195264,1
3213,29,Sales,Manager,6,189,No,5,11,14,Average,2,94.6,197570,7
3214,37,Finance,Manager,17,183,Yes,0,15,1,Average,1,67.23,127077,2
3215,30,HR,Entry,27,186,No,11,7,7,Good,8,83.37,102923,10
3216,25,Finance,Senior,7,169,Yes,3,12,12,Good,8,68.28,63097,9
3217,40,HR,Entry,27,197,Yes,7,8,4,Good,1,73.79,132768,8
3218,34,IT,Mid,14,150,Yes,10,19,13,Good,6,81.09,163745,9
3219,33,Finance,Senior,2,213,Yes,10,10,9,Excellent,1,71.13,62701,11
3220,30,Finance,Entry,24,128,Yes,10,18,5,Poor,7,54.53,92781,0
3221,33,IT,Entry,14,184,No,2,12,0,Average,3,78.86,64888,2
3222,45,Sales,Senior,6,174,Hybrid,3,13,7,Average,8,94.26,189283,2
3223,34,Operations,Mid,1,148,Hybrid,14,7,14,Average,8,75.71,122027,3
3224,56,Finance,Mid,18,208,Yes,12,10,0,Excellent,2,95.41,69142,17
3225,53,Marketing,Entry,6,158,Hybrid,3,17,10,Good,7,78.98,63992,17
3226,59,Operations,Manager,18,203,Hybrid,2,12,12,Poor,1,83.56,188285,7
3227,35,IT,Mid,4,131,No,1,8,0,Average,2,65.75,100107,15
3228,23,Sales,Senior,25,153,Hybrid,12,4,7,Average,1,70.88,46032,18
3229,42,Operations,Mid,14,141,No,1,19,10,Average,4,80.38,53521,19
3230,52,IT,Manager,3,179,No,6,8,6,Average,6,89.75,81765,7
3231,56,IT,Mid,14,197,No,0,12,13,Average,1,85.89,179277,8
3232,37,Sales,Mid,5,177,Hybrid,2,18,4,Average,1,82.78,143858,5
3233,47,Operations,Mid,14,211,Yes,5,8,5,Poor,4,97.51,76289,18
3234,59,Sales,Manager,19,182,Yes,9,3,0,Average,2,52.24,124739,13
3235,24,Sales,Senior,8,178,No,10,19,9,Good,6,94.59,154531,10
3236,58,Operations,Mid,26,190,No,2,19,3,Good,4,71.4,76116,13
3237,57,Operations,Senior,5,125,Yes,0,3,3,Good,2,59.02,178773,9
3238,59,Marketing,Senior,10,155,Hybrid,12,16,12,Average,8,55.4,136808,14
3239,23,HR,Manager,13,151,Yes,2,6,13,Good,7,99.02,142953,3
3240,43,Operations,Mid,6,178,Hybrid,12,19,13,Good,3,97.78,65841,9
3241,24,Operations,Entry,22,209,No,3,16,14,Average,1,99.43,173893,1
3242,47,IT,Entry,20,173,No,0,8,14,Average,7,80.04,186015,18
3243,48,Finance,Senior,10,189,Hybrid,3,13,2,Good,5,75.27,178225,1
3244,59,HR,Mid,13,153,Hybrid,8,11,14,Poor,7,83.66,122917,0
3245,29,Finance,Senior,27,162,No,9,10,5,Excellent,3,66.5,70006,7
3246,44,Finance,Mid,20,167,No,1,14,13,Average,1,65.61,128443,18
3247,27,Finance,Mid,10,169,No,2,8,4,Poor,4,77.9,51424,12
3248,46,Marketing,Entry,1,148,Yes,4,18,5,Good,4,93.42,147590,3
3249,37,Marketing,Senior,22,125,No,14,12,10,Average,9,98.07,62171,3
3250,47,HR,Entry,4,184,No,5,5,9,Average,1,67.14,107443,7
3251,36,Sales,Manager,13,127,Hybrid,4,9,7,Poor,3,94.96,69751,2
3252,53,Marketing,Entry,6,191,Hybrid,7,12,14,Average,9,56.51,73666,11
3253,40,IT,Entry,8,145,Yes,4,14,3,Average,8,56.94,137726,12
3254,35,HR,Mid,9,141,No,13,8,6,Average,2,97.71,194322,10
3255,56,IT,Mid,9,135,Yes,4,4,13,Poor,9,96.66,128054,18
3256,47,Finance,Manager,14,193,No,0,14,8,Average,1,55.93,96841,1
3257,58,IT,Mid,1,136,Hybrid,14,12,2,Poor,4,95.63,181140,17
3258,34,Marketing,Entry,5,191,No,14,13,6,Average,2,74.12,97502,19
3259,29,IT,Manager,28,203,No,5,6,13,Average,4,91.89,134003,10
3260,35,Finance,Senior,23,184,No,10,3,8,Excellent,7,64.61,183272,16
3261,47,Finance,Manager,17,172,No,6,3,10,Average,2,85.28,54881,5
3262,51,Marketing,Mid,6,179,No,4,16,0,Excellent,9,93.95,197799,19
3263,34,HR,Entry,17,150,No,2,4,11,Average,4,89.94,49246,8
3264,57,Sales,Mid,22,141,Yes,10,5,13,Poor,1,67.69,58783,2
3265,32,Operations,Entry,23,144,No,12,14,12,Average,4,54.09,53357,0
3266,23,HR,Entry,5,195,Hybrid,6,5,3,Average,7,92.58,75513,14
3267,51,Sales,Manager,2,148,Yes,10,6,7,Excellent,3,68.72,92808,13
3268,45,Operations,Manager,18,185,No,7,10,7,Good,4,79.9,66276,7
3269,39,Marketing,Manager,6,133,No,13,9,2,Poor,3,50.76,173690,13
3270,44,Marketing,Mid,28,169,Hybrid,8,7,11,Poor,9,98.44,134352,11
3271,27,Marketing,Entry,14,207,Yes,14,14,4,Average,6,56.86,45870,8
3272,32,Finance,Entry,22,144,No,6,13,12,Excellent,6,82.4,41665,3
3273,28,HR,Mid,1,143,Yes,2,19,5,Average,8,90.42,62892,8
3274,54,Sales,Mid,11,131,Hybrid,14,7,13,Good,4,55.44,170051,10
3275,31,HR,Senior,10,122,Yes,4,16,13,Average,9,78.54,45367,4
3276,42,Sales,Mid,15,198,Hybrid,6,15,0,Poor,3,98.12,192331,13
3277,30,IT,Senior,9,164,Hybrid,5,5,9,Average,7,95.46,68816,1
3278,51,HR,Manager,7,193,Yes,5,16,13,Good,8,63.68,107295,16
3279,46,IT,Senior,12,129,Yes,2,15,1,Average,1,98.06,69727,19
3280,46,Marketing,Mid,8,159,Yes,10,15,2,Average,7,98.19,123394,7
3281,45,Finance,Manager,27,161,Hybrid,4,7,10,Good,2,72.75,53349,11
3282,33,Finance,Manager,10,146,No,7,16,6,Average,3,57.83,138150,14
3283,28,Operations,Mid,2,181,No,8,17,1,Poor,2,53.31,178907,13
3284,55,HR,Mid,22,125,Yes,12,14,10,Good,8,72.49,51979,7
3285,24,IT,Entry,14,157,Hybrid,1,17,4,Poor,5,76.88,176879,17
3286,27,IT,Manager,9,149,Yes,1,17,9,Average,5,62.96,163767,0
3287,48,Sales,Entry,1,128,No,2,6,8,Average,3,50.17,116776,12
3288,40,HR,Mid,16,152,No,11,19,11,Poor,4,56.8,79040,7
3289,29,HR,Senior,27,142,Yes,6,15,0,Average,9,62.05,189763,15
3290,57,IT,Senior,5,140,Hybrid,9,18,7,Good,6,65.63,75472,4
3291,57,Operations,Mid,8,184,No,1,18,7,Good,9,70.8,157685,15
3292,39,Operations,Mid,20,195,Yes,14,16,12,Good,4,85.88,114634,19
3293,28,IT,Senior,1,154,Hybrid,9,5,7,Average,5,89.14,176259,10
3294,22,Operations,Entry,23,165,No,3,18,4,Average,9,67.51,188941,15
3295,26,Finance,Manager,17,142,No,7,19,11,Poor,2,96.01,160751,16
3296,35,HR,Mid,7,217,Yes,3,4,8,Good,7,58.78,181178,14
3297,22,Finance,Entry,26,217,Hybrid,14,10,4,Excellent,6,66.14,71562,0
3298,33,Marketing,Mid,11,210,Yes,0,18,13,Average,3,57.08,119094,5
3299,40,Marketing,Senior,7,215,Yes,3,7,11,Excellent,5,83.62,177876,9
3300,23,IT,Senior,7,170,Hybrid,6,7,5,Good,9,60.93,141274,10
3301,35,Sales,Senior,21,138,No,8,12,8,Poor,6,84.04,53690,10
3302,24,IT,Mid,29,201,No,12,11,5,Average,7,52.05,154656,9
3303,56,HR,Mid,4,191,Yes,7,16,12,Average,1,60.36,157554,1
3304,34,IT,Mid,20,218,Yes,5,7,9,Good,1,74.1,122837,6
3305,24,Finance,Manager,1,167,Yes,5,12,11,Good,6,88.81,64536,15
3306,35,IT,Manager,15,219,Hybrid,8,8,5,Poor,1,57.93,101887,3
3307,55,Finance,Entry,27,168,Yes,7,12,1,Average,2,60.68,175590,5
3308,30,Marketing,Mid,2,147,Hybrid,0,9,11,Poor,1,80.48,128401,2
3309,31,Operations,Mid,28,219,Hybrid,1,4,12,Average,4,90.82,157312,7
3310,29,Finance,Mid,23,173,Yes,7,14,4,Average,9,78.07,133576,19
3311,50,Operations,Mid,24,159,No,2,5,1,Average,4,80.78,131923,8
3312,54,HR,Mid,24,169,No,1,8,7,Excellent,3,99.02,70209,9
